OccId;Term;Scientific Name;File;1000-Words-Frame;text
animal;Animalia;organism;PG10005;14;"perhaps, however, you will say they are so engrossed with the animal wants of hunger and thirst, that they are incapable of attending to any thing else.

animal;Animalia;organism;PG10005;17;he is the identical animal that he ever was.

palm;Arecaceae;organism;PG10005;17;a dry crust is relished, when an individual is hungry, more than the most savoury and delicate dainties when he is in a fever, and water to one man, is a more delicious beverage than the juice of the grape or of the palm to another.

corn;Zea mays;organism;PG10005;17;and, if no other occupation be provided for the mind of man, it carves out employment for itself in vain regrets and gloomy forebodings--in jealousy, envy, and the indulgence of every hateful and tormenting passion,hence the proverb,--'if you want corn, cultivate your soil, if you want weeds, let it alone.'

ginger;Zingiber officinale;organism;PG10005;18;the brahmin proposed that we now should dine, and, opening a small case, and drawing forth a cold fowl, a piece of dried goat's flesh, a small pot of ghee, some biscuits, and a bottle of arrack flavoured with ginger and spices, with a larger one of water, we ate as heartily as we had ever done at the hermitage, the slight motion of our machine to one side or the other, whenever we moved, giving us nearly as much exercise as a vessel in a smooth sea.

goat;Capra hircus;organism;PG10005;18;the brahmin proposed that we now should dine, and, opening a small case, and drawing forth a cold fowl, a piece of dried goat's flesh, a small pot of ghee, some biscuits, and a bottle of arrack flavoured with ginger and spices, with a larger one of water, we ate as heartily as we had ever done at the hermitage, the slight motion of our machine to one side or the other, whenever we moved, giving us nearly as much exercise as a vessel in a smooth sea.

animal;Animalia;organism;PG10005;18;the animal food had been provided for me, for the brahmin satisfied his hunger with the ghee, sweetmeats, and biscuit, and ate sparingly even of them.

sage;Salvia patens;organism;PG10005;19;"upon that subject," said he, "the lunarian sages are much divided.

animal;Animalia;organism;PG10005;19;i recognise, for instance, a striking resemblance between the animal and vegetable productions of asia and those of the moon."

animal;Animalia;organism;PG10005;19;"do you think, father," said i, "that animal, or even vegetable life, could possibly exist in such a disruption as is supposed?"

animal;Animalia;organism;PG10005;19;on the contrary, while it would occasion, in some parts, a great destruction of life, it would, in others, not be felt more than an earthquake, or rather, than a succession of earthquakes, during the time that the different parts of the mass were adjusting themselves to a spherical form, whilst a few pairs, or even a single pair of animals, saved in some cavity of a mountain, would be sufficient, in a few centuries, to stock the whole surface of the earth with as many individuals as are now to be found on it.

animal;Animalia;organism;PG10005;21;i suggested to him that they might tempt the ambition of russia, and cautiously inquired, whether the abstinence from animal food might not render his country much less capable of resistance, and whether it might not serve to explain why india had so often been the prey of foreign conquest?

alexander;Smyrnium olusatrum;organism;PG10005;21;"it is true, hindostan was invaded by alexander--but not conquered, and that it has since submitted, in succession, to the arabians, to the tartars, under genghis khan, and under tamerlane, to the persians, under nadir shah, and, finally, to the british.

animal;Animalia;organism;PG10005;21;and, as to courage, we see no difference between those asiatics who eat animal food as you do, and those who abstain from it as i do.

ray;Rajomorphii;organism;PG10005;22;the sun's rays fell obliquely on her disc, so that by a large part of its surface not reflecting the light, i saw every object on it, so far as i was enabled by the power of my telescope.

plant;Plantae;organism;PG10005;23;after a few hours, we were so near the moon that every object was seen in our glass, as distinctly as the shells or marine plants through a piece of shallow sea-water, though the eye could take in but a small part of her surface, and the horizon, which bounded our view, was rapidly contracting.

tree;Tracheophyta;organism;PG10005;23;"we must now," continued he, "look out for some cultivated field, in one of the valleys we are approaching, where we may rely on being not far from some human abode, and on escaping the perils of rocks, trees, and buildings."

insect;Insecta;organism;PG10005;23;the vegetation, insects and other animals, were all pretty much of the same character as those i had seen before, but after i became better acquainted with them, i found the difference to be much greater than i at first supposed.

animal;Animalia;organism;PG10005;23;the vegetation, insects and other animals, were all pretty much of the same character as those i had seen before, but after i became better acquainted with them, i found the difference to be much greater than i at first supposed.

ray;Rajomorphii;organism;PG10005;24;one half the houses were under ground, partly to screen them from the continued action of the sun's rays, and partly on account of the earthquakes caused by volcanoes.

butterfly;Pieris (Pieridae);organism;PG10005;25;many of the head-dresses were made of a stiff open gauze, occasionally stuck over with insects of the butterfly and coccinella species, and others of the gayest hues.

insect;Insecta;organism;PG10005;25;many of the head-dresses were made of a stiff open gauze, occasionally stuck over with insects of the butterfly and coccinella species, and others of the gayest hues.

insect;Insecta;organism;PG10005;25;at other times these insects were alive, when their perpetual buzzing and fluttering in their transparent cages, had a very animating effect.

firefly;Lampyridae;organism;PG10005;25;one decoration for the head in particular struck my fancy,it was formed of a silver tissue, containing fireflies, and intended to be worn in the night.

bird;Aves;organism;PG10005;25;but the most remarkable thing of all, was the whim of the ladies in the upper classes, of making themselves as much like birds as possible, in which art, it must be confessed, they were wonderfully successful.

bird;Aves;organism;PG10005;25;the dress used for this purpose, consisted of a sort of thick cloak, covered with feathers, like those of the south sea islands, and was so fashioned, by means of a tight thick quilting, as to make the wearer, at a little distance, very much resemble an overgrown bird, except that the legs were somewhat too thick.

beak;Bilateria;body;PG10005;25;their arms were concealed under the wings, and the resemblance was yet further increased, by marks with beaks adapted to the particular plumage,some personating doves, some magpies, others again, hawks, parrots, and c., according to their natural figure, humour,

parrot;Psittaciformes;organism;PG10005;25;their arms were concealed under the wings, and the resemblance was yet further increased, by marks with beaks adapted to the particular plumage,some personating doves, some magpies, others again, hawks, parrots, and c., according to their natural figure, humour,

hawk;Accipiter;organism;PG10005;25;their arms were concealed under the wings, and the resemblance was yet further increased, by marks with beaks adapted to the particular plumage,some personating doves, some magpies, others again, hawks, parrots, and c., according to their natural figure, humour,

hawk;Accipitrinae;organism;PG10005;25;their arms were concealed under the wings, and the resemblance was yet further increased, by marks with beaks adapted to the particular plumage,some personating doves, some magpies, others again, hawks, parrots, and c., according to their natural figure, humour,

magpie;Pica;organism;PG10005;25;their arms were concealed under the wings, and the resemblance was yet further increased, by marks with beaks adapted to the particular plumage,some personating doves, some magpies, others again, hawks, parrots, and c., according to their natural figure, humour,

beak;Libythea;organism;PG10005;25;their arms were concealed under the wings, and the resemblance was yet further increased, by marks with beaks adapted to the particular plumage,some personating doves, some magpies, others again, hawks, parrots, and c., according to their natural figure, humour,

horse;Equus ferus caballus;organism;PG10005;25;i told the brahmin that some of the indians of our continent showed a similar taste in dress, by decorating themselves with horns like the buffalo, and with tails like horses, which furnished him with a further argument in favour of a common origin.

asparagus;Asparagus;organism;PG10005;25;their dinner consisted of several dishes of vegetables, variously served up, of roots, stalks, seeds, flowers, and fruits, some of which resembled the productions of the earth, and in particular, i saw a dish of what i at first took to be very fine asparagus, but supposed i was mistaken, when i saw them eat the coarse fibrous part alone.

asparagus;Asparagus;organism;PG10005;25;on tasting it, however, in the ordinary way, i found it to be genuine, good asparagus, but i perceived that the family looked extremely shocked at my taste.

peach;Prunus persica;organism;PG10005;25;after the other dishes were removed, some large fruit, of the peach kind, were set on the table, when the members of the family, having carefully paired off the skin, ate it, and threw the rest away.

peach;Prunus persica;organism;PG10005;26;you may see that those peaches, which were so disdainfully thrown into the yard, are often secretly picked up by the children, who obey the impulses of nature, and devour them most greedily.

rose;Rosa;organism;PG10005;27;a few years since, he wanted some of the blacksmith's nails to purchase the first rose of the season, and pledged his mines to pay, at the end of the year, three times the amount he received in exchange, and although, if he were to use but half his income for a single year, the other half would discharge his debts.

ray;Rajomorphii;organism;PG10005;28;from the length of time that the sun is above the horizon, the continued action of his rays, in those climates where they fall vertically, or nearly so, would be intolerable, if it was not for the high mountains, from whose snow-clad summits a perpetual breeze derives a refreshing coolness, and for the deep glens and recesses, in which most animals seek protection from his meridian beams.

animal;Animalia;organism;PG10005;28;from the length of time that the sun is above the horizon, the continued action of his rays, in those climates where they fall vertically, or nearly so, would be intolerable, if it was not for the high mountains, from whose snow-clad summits a perpetual breeze derives a refreshing coolness, and for the deep glens and recesses, in which most animals seek protection from his meridian beams.

animal;Animalia;organism;PG10005;28;the inhabitants of the moon have not the same regularity in their meals, or time for sleep, as we have, but consult their appetites and inclinations like other animals.

dog;Canis lupus familiaris;organism;PG10005;28;i was astonished at first at this seeming increase in my muscular powers, when, on passing along a street in alamatua, soon after my arrival, and meeting a dog, which i thought to be mad, i proposed to run out of his way, and in leaping over a gutter, i fairly bounded across the street.

dog;Canidae;organism;PG10005;28;i was astonished at first at this seeming increase in my muscular powers, when, on passing along a street in alamatua, soon after my arrival, and meeting a dog, which i thought to be mad, i proposed to run out of his way, and in leaping over a gutter, i fairly bounded across the street.

animal;Animalia;organism;PG10005;29;another consequence of the diminished gravity here is, that both men and animals carry much greater burdens than on the earth.

dog;Canis lupus familiaris;organism;PG10005;29;the carriages are drawn altogether by dogs, which are the largest animals they have, except the zebra, and a small buffalo.

dog;Canidae;organism;PG10005;29;the carriages are drawn altogether by dogs, which are the largest animals they have, except the zebra, and a small buffalo.

animal;Animalia;organism;PG10005;29;the carriages are drawn altogether by dogs, which are the largest animals they have, except the zebra, and a small buffalo.

bird;Aves;organism;PG10005;30;"those little birds, which cost me five pieces, i shall divide between my terrestrial friend here,looking at the brahmin,and myself, we being the most meritorious of the company, and it being of the utmost importance to society, that food so wholesome should give nourishment to our bodies, and impart vigour and vivacity to our minds."

animal;Animalia;organism;PG10005;31;he proposed, however, to return to my veins a portion of thinner blood in place of what he should take away, and offered me the choice of several animals, which he always kept by him for that purpose.

goat;Capra hircus;organism;PG10005;31;there were two white animals of the hog kind, a male and a female lama, three goats, besides several birds, about the size of a turkey, some tortoises, and other amphibious animals.

bird;Aves;organism;PG10005;31;there were two white animals of the hog kind, a male and a female lama, three goats, besides several birds, about the size of a turkey, some tortoises, and other amphibious animals.

turkey;Meleagridinae;organism;PG10005;31;there were two white animals of the hog kind, a male and a female lama, three goats, besides several birds, about the size of a turkey, some tortoises, and other amphibious animals.

animal;Animalia;organism;PG10005;31;there were two white animals of the hog kind, a male and a female lama, three goats, besides several birds, about the size of a turkey, some tortoises, and other amphibious animals.

corn;Zea mays;organism;PG10005;32;he had once, he said, intended to use the expansive force of congelation for his moving power, but he found, after making a full and accurate calculation, that the labourers required to keep the machine supplied with ice, consumed something more than twice as much corn as the mill would grind in the same time.

lime;Tilia;organism;PG10005;32;for example,suppose i wish to speak of any object that is white, or analogous to white, i open the drawer that is thus labelled, and i see silver, lime, chalk, and white enamel, ivory, paper, snow-drops, and alabaster, and select whichever of these substances will best suit the measure and the rhyme, and has the most soft-sounding name.

salmon;Oncorhynchus;organism;PG10005;32;if the colour be yellow, then there are substances of all shades of this hue, from saffron and pickled salmon to brimstone and straw.

brimstone;Gonepteryx rhamni;organism;PG10005;32;if the colour be yellow, then there are substances of all shades of this hue, from saffron and pickled salmon to brimstone and straw.

brimstone;Gonepteryx;organism;PG10005;32;if the colour be yellow, then there are substances of all shades of this hue, from saffron and pickled salmon to brimstone and straw.

animal;Animalia;organism;PG10005;32;that contained substances offensive to the sight or smell, which my maid, conducted to it by her nose, conceived to be some animal curiosities i had been collecting, in a state of putrefaction and decay, and did not hesitate to throw them into the fire.

tree;Tracheophyta;organism;PG10005;32;we had not long left vindar's house, before we saw a short fat man in the suburbs, preparing to climb to the top of a plane tree, on which there was one of the tail feathers of a sort of flamingo.

flamingo;Phoenicopterus;organism;PG10005;32;we had not long left vindar's house, before we saw a short fat man in the suburbs, preparing to climb to the top of a plane tree, on which there was one of the tail feathers of a sort of flamingo.

flamingo;Phoenicopteridae;organism;PG10005;32;we had not long left vindar's house, before we saw a short fat man in the suburbs, preparing to climb to the top of a plane tree, on which there was one of the tail feathers of a sort of flamingo.

tree;Tracheophyta;organism;PG10005;33;some offered to get a ladder, and ascend, and others to cut down the tree, all of which he obstinately rejected.

bird;Aves;organism;PG10005;33;he had in this way, i afterwards learnt, gathered some of the richest flowers of the bignonia scarlatina, as well as such fruits as had tempted him by their luscious appearance, and at the same time frightening all the birds from their nests, which he commonly destroyed,and although some of his attendants were occasionally much hurt and bruised in this singular amusement, he still persevered in it.

dog;Canis lupus familiaris;organism;PG10005;35;after walking about three miles, the freshness of the morning air, the fragrance of the flowers, and the music of innumerable birds, whose unceasing carols testified their joy and delight at the approach of a more genial month, we came to a large, well cultivated farm, in which a number of coarse looking men were employed, with the aid of dogs, cross-bows, and other martial weapons, in hunting down llamas, and a small kind of buffalo, which, in one of our former walks, we had seen quietly feeding on a rich and extensive pasture.

llama;Lama glama;organism;PG10005;35;after walking about three miles, the freshness of the morning air, the fragrance of the flowers, and the music of innumerable birds, whose unceasing carols testified their joy and delight at the approach of a more genial month, we came to a large, well cultivated farm, in which a number of coarse looking men were employed, with the aid of dogs, cross-bows, and other martial weapons, in hunting down llamas, and a small kind of buffalo, which, in one of our former walks, we had seen quietly feeding on a rich and extensive pasture.

bird;Aves;organism;PG10005;35;after walking about three miles, the freshness of the morning air, the fragrance of the flowers, and the music of innumerable birds, whose unceasing carols testified their joy and delight at the approach of a more genial month, we came to a large, well cultivated farm, in which a number of coarse looking men were employed, with the aid of dogs, cross-bows, and other martial weapons, in hunting down llamas, and a small kind of buffalo, which, in one of our former walks, we had seen quietly feeding on a rich and extensive pasture.

dog;Canidae;organism;PG10005;35;after walking about three miles, the freshness of the morning air, the fragrance of the flowers, and the music of innumerable birds, whose unceasing carols testified their joy and delight at the approach of a more genial month, we came to a large, well cultivated farm, in which a number of coarse looking men were employed, with the aid of dogs, cross-bows, and other martial weapons, in hunting down llamas, and a small kind of buffalo, which, in one of our former walks, we had seen quietly feeding on a rich and extensive pasture.

llama;Lama;organism;PG10005;35;after walking about three miles, the freshness of the morning air, the fragrance of the flowers, and the music of innumerable birds, whose unceasing carols testified their joy and delight at the approach of a more genial month, we came to a large, well cultivated farm, in which a number of coarse looking men were employed, with the aid of dogs, cross-bows, and other martial weapons, in hunting down llamas, and a small kind of buffalo, which, in one of our former walks, we had seen quietly feeding on a rich and extensive pasture.

cattle;Bos taurus;organism;PG10005;35;these cattle belong to the owners of a neighbouring estate, by whom i and my tenants have been injured and insulted, and, according to the usage in such cases, i have given the signal to my people to lay hold on what they can of his flocks and herds, and, to quicken their exertions, i give them half of what they catch."

bear;Ursidae;organism;PG10005;36;"and how does your neighbour bear this in the mean time?"

cattle;Bos taurus;organism;PG10005;36;"oh, for that matter," said the other, "he is not at all behindhand, and i lose nearly as many cattle as i get.

llama;Lama glama;organism;PG10005;36;but it gives me much more pleasure to kill one of his buffaloes or llamas, than it does pain me when he kills one of mine.

llama;Lama;organism;PG10005;36;but it gives me much more pleasure to kill one of his buffaloes or llamas, than it does pain me when he kills one of mine.

cattle;Bos taurus;organism;PG10005;36;"why, no," replied he,"as my pastures are richer and more luxuriant than his, two of my cattle are worth perhaps three of his."

cattle;Bos taurus;organism;PG10005;36;"and what do they give you for the privilege of hunting your neighbour's cattle?"

cattle;Bos taurus;organism;PG10005;36;each one would, in that case, instead of having half his neighbour's cattle, have all his own, and, being kept in their native pastures, they would be less likely to stray away, and you could therefore slay and eat as you wanted them, whereas, in your hunting matches many more are either killed or maimed than are wanted for present use, and they are consequently consumed in waste.

cattle;Bos taurus;organism;PG10005;36;the travellers visit a gentleman farmer, who is a great projector,his breed of cattle,his apparatus for cooking,he is taken dangerously ill.

cattle;Bos taurus;organism;PG10005;37;he was very communicative of his modes of cultivation and management, but chiefly prided himself on his success in improving the size of his cattle.

animal;Animalia;organism;PG10005;37;his practice was to kill all the young animals which were not uncommonly large and thrifty, to cram those he kept, with as much food as they would eat, and to tempt their appetites by the variety of their nourishment, as well as of the modes of preparing it.

grass;Agrostis capillaris;organism;PG10005;37;"have you always," he asked, "had the same number of acres in grain and grass under your new and old system?"

grass;Poaceae;organism;PG10005;37;"have you always," he asked, "had the same number of acres in grain and grass under your new and old system?"

cattle;Bos taurus;organism;PG10005;37;"but stop here a moment," said our host, "till i go to see how my last improved oil-cake is relished by my cattle."

grass;Agrostis capillaris;organism;PG10005;37;nothing, my dear atterley, is more true than the saying of your wise book-- that all flesh is grass, and it always takes the same quantity of one to make a given quantity of the other, whether that given quantity may be in the form of a single individual, or two or three.

grass;Poaceae;organism;PG10005;37;nothing, my dear atterley, is more true than the saying of your wise book-- that all flesh is grass, and it always takes the same quantity of one to make a given quantity of the other, whether that given quantity may be in the form of a single individual, or two or three.

sage;Salvia patens;organism;PG10005;37;"and is this really the origin," said i, "of that strange phenomenon, which has furnished so much matter of speculation to the sages both of europe and america?"

ram;Ovis aries;organism;PG10005;38;here was also his digestor, for making soup of rams' horns, which he assured me contained a good deal of nourishment, and the only difficulty was in extracting it.

pepper;Capsicum frutescens;organism;PG10005;38;the fire which dressed his victuals, pumped up, by means of a steam engine, water for the kitchen turned one or more spits, as well as two or three mills for grinding pepper, salt, and c., and then, by a spindle through the wall, worked a churn in the dairy, and cleaned the knives,the forks, indeed, were still cleaned by hand, but he said he did not despair of effecting this operation in time, by machinery.

mouse;Mus;organism;PG10005;39;our beds were filled with air, which is quite as good as feathers, except that when the leather covering gets a hole in it, from ripping, or other accidents, it loses its elasticity with its air--an accident which happened to me this very night, for a mouse having gnawed the leather where the housemaid's greasy fingers had left a mark, i sunk gently down, not to soft repose, but on the hard planks, where i uncomfortably lay until the bell warned us to rise for breakfast.

mouse;Muridae;organism;PG10005;39;our beds were filled with air, which is quite as good as feathers, except that when the leather covering gets a hole in it, from ripping, or other accidents, it loses its elasticity with its air--an accident which happened to me this very night, for a mouse having gnawed the leather where the housemaid's greasy fingers had left a mark, i sunk gently down, not to soft repose, but on the hard planks, where i uncomfortably lay until the bell warned us to rise for breakfast.

sage;Salvia patens;organism;PG10005;41;in the mean while, the smooth and considerate dr. dridrano stept into the sick room, with the view of offering an apology for the unmannerly conduct of his brethren, and of tendering his single services, as the other sages of the healing art could not agree in the course to be pursued, when he found that the patient, profiting by the simple remedies of the brahmin, and an hour's rest, had been so much refreshed, that he considered himself out of danger, and that he had no need of medical assistance, or, at any rate, he was unwilling to follow the prescriptions of one physician, which another, if not two others, unhesitatingly condemned.

animal;Animalia;organism;PG10005;42;"with all the extravagance," said he, "to which they push their several systems, they are not unsuccessful in practice, for habitual caution, and an instinctive regard for human life, which they never can extinguish, checks them in carrying their hypotheses into execution,and if i might venture to give an opinion on a subject of which i know so little, and there is so much to be known, i would say, that the most common error of theorists is to consider man as a machine, rather than an animal, and subject to one set of the laws of matter, rather than as subject to them all.

animal;Animalia;organism;PG10005;42;but the science will never be in the right tract of improvement, until we consider, conjointly, the mechanical operations of the fluids, the chemical agency of the substances taken into the stomach, and the animal functions of digestion, secretion, and absorption, as evinced by actual observation."

rail;Rallidae;organism;PG10005;42;surprised at seeing children of their tender years, thus prematurely put to severe labour, i was about to rail at the absurd custom of this strange country, when my friend checked me for my hasty judgment, and told me that these boys were on their way to school, after their usual monthly holiday.

animal;Animalia;organism;PG10005;43;we were, however, conducted to a small menagerie attached to the institution, by its keeper, where the habits and accomplishments of the animals bore strong testimony in favour of the diligence and skill of their teachers.

turtle-dove;Streptopelia turtur;organism;PG10005;43;we there saw two game-cocks, which, so far from fighting,,though they had been selected from the most approved breed,,billed and cooed like turtle-doves.

animal;Animalia;organism;PG10005;43;there was a large zebra, apparently ill-tempered, which showed his anger by running at and butting every animal that came in his way.

llama;Lama glama;organism;PG10005;43;two half-grown llamas, which are naturally as quiet and timid as sheep, bit each other very furiously, until they foamed at the mouth.

sheep;Ovis aries;organism;PG10005;43;two half-grown llamas, which are naturally as quiet and timid as sheep, bit each other very furiously, until they foamed at the mouth.

llama;Lama;organism;PG10005;43;two half-grown llamas, which are naturally as quiet and timid as sheep, bit each other very furiously, until they foamed at the mouth.

cat;Felis;organism;PG10005;43;and, lastly, a large mastiff made his appearance, walking in a slow, measured gait, with a sleek tortoise-shell cat on his back, and she, in turn, was surmounted by a mouse, which formed the apex of this singular pyramid.

mouse;Mus;organism;PG10005;43;and, lastly, a large mastiff made his appearance, walking in a slow, measured gait, with a sleek tortoise-shell cat on his back, and she, in turn, was surmounted by a mouse, which formed the apex of this singular pyramid.

mouse;Muridae;organism;PG10005;43;and, lastly, a large mastiff made his appearance, walking in a slow, measured gait, with a sleek tortoise-shell cat on his back, and she, in turn, was surmounted by a mouse, which formed the apex of this singular pyramid.

cat;Felis;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

dog;Canis lupus familiaris;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

mouse;Mus;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

llama;Lama glama;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

dog;Canidae;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

mouse;Muridae;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

llama;Lama;organism;PG10005;43;while he was speaking, the mastiff, being jostled by the two llamas still awkwardly worrying each other, turned round so suddenly, that the mouse was dislodged from his lofty position, and thrown to the ground, on seeing which, the cat immediately sprang upon it, with a loud purring noise, which being heard by the dog, he, with a fierce growl, suddenly seized the cat.

llama;Lama glama;organism;PG10005;43;the llamas, alarmed at this terrific sound, instinctively ran off, and having, in their flight, approached the heels of the zebra, he gave a kick, which killed one of them on the spot.

llama;Lama;organism;PG10005;43;the llamas, alarmed at this terrific sound, instinctively ran off, and having, in their flight, approached the heels of the zebra, he gave a kick, which killed one of them on the spot.

jay;Garrulus;organism;PG10005;44;curiosity now prompted me to enter into the thickest of the throng, and i had never seen such fury in the maddest contests between old george clinton and mr. jay, or de witt clinton and governor tompkins, in my native state.

jay;Cyanocorax;organism;PG10005;44;curiosity now prompted me to enter into the thickest of the throng, and i had never seen such fury in the maddest contests between old george clinton and mr. jay, or de witt clinton and governor tompkins, in my native state.

sheep;Ovis aries;organism;PG10005;44;"you killed two black sheep!"

ewe;Ovis aries;organism;PG10005;44;"you have an old ewe at home now, that you did not come honestly by!"

